Address,Prisantydning,Fellesgjeld,Omkostninger,Totalpris,Felleskost,Boligtype,Eieform_bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Faciliteter,Beskrivelse,Eiendomsmegler
"Gamle Stadion K7-K8, 1610 Fredrikstad",3 750 000 kr,-1,-1,-1,-1,53 - 95 m²,1 - 2,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,"Gamle Stadion - 39 nye, lyse & attraktive selveierleiligheter - siste byggetrinn!",DNB Eiendom AS
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Bogstadveien 9A, 0355 Oslo",2 790 000 kr,81 292 kr,2 871 292 kr,2 115 kr,-1,Leilighet,Eier (Selveier),22 m²,22 m²,3,1937,F - mørkegrønn,-1,,Lys og flott 1-roms selveier med meget attraktiv beliggenhet på Majorstuen - Fyring & v.vann inkl. - Balkong - Heis,PrivatMegleren Park
"Børresens veg 4E, 2615 Lillehammer",2 675 000 kr,68 040 kr,2 743 040 kr,2 367 kr,11 443 kr per år,Leilighet,Eier (Selveier),1,44 m²,47 m²,2,2012,C - rød,,"Lekker og tiltalende selveierleilighet med garasjeplass, vestvendt balkong og bod. Sentrumsnær beliggenhet!",EiendomsMegler 1 Lillehammer
"Sæbøvika 19, 5590 Etne",1 950 000 kr,648 202 kr,8 060 kr,2 606 262 kr,7 811 kr,Leilighet,Andel,3,97 m²,100 m²,2,2003,C - oransje,-1,Tiltalende 4-romsleilighet med fjorden som nærmeste nabo - garasje og båtplass!,PrivatMegleren Østbø & Kaldheim
"Konows gate 15D, 0196 Oslo",3 400 000 kr,826 000 kr,8 032 kr,4 234 032 kr,9 129 kr,Leilighet,Andel,1,48 m²,52 m²,2,2006,E - rød,,Lys 2-roms med vestvendt balkong - Garasjeplass - Egen ytterdør - Rekkehusfølelse - TA KONTAKT FOR PRIVATVISNING,Nordvik Bislett
"Ole Kyllingstads veg 4, 4350 Kleppe",2 590 000 kr,52 631 kr,65 920 kr,2 708 551 kr,2 023 kr,Leilighet,Eier (Selveier),2,65 m²,68 m²,3,2006,C - rød,-1,Velholdt leilighet med 2 soverom - midt i Kleppekrossen. Lukket parkering.,EiendomsMegler 1 Jærmegleren
"Rektorhaugen 35, 0876 Oslo",5 500 000 kr,329 000 kr,1 132 kr,5 830 132 kr,4 762 kr,Leilighet,Andel,2,69 m²,69 m²,1,1960,F - mørkegrønn,,"Gj. gående, hjørne- og endeleilighet med vestvendt balkong | Felles hage | Fyring & V.v inkl. i FK | Moderniseringsbehov",Krogsveen avd. Majorstuen
"Stjørdalsveien 17, 7066 Trondheim",4 890 000 kr,123 420 kr,5 013 420 kr,2 740 kr,26 996 kr per år,Leilighet,Eier (Selveier),2,72 m²,76 m²,4,2017,C - mørkegrønn,,Attraktiv 3-roms hjørneleilighet - Sørvendt veranda på 20 kvm - Ingen innsyn - Fjernvarme - Heis - P-plass m/ladepunkt,EiendomsMegler 1 avd. Lerkendal
"Tante Ulrikkes vei 34A, 0984 Oslo",2 850 000 kr,627 144 kr,1 132 kr,3 478 276 kr,6 161 kr,Leilighet,Andel,2,73 m²,73 m²,2,1968,F - rød,,"Romslig og pen 3-roms leilighet i 2. etg| Vestvendt balkong på ca. 8,5 kvm | Bad 2019 | Garasjeplass",-1
"Olav Magnussons veg 6, 7046 Trondheim",3 155 483 kr,-1,-1,-1,-1,50 - 86 m²,2 - 3,Leilighet,Andel,-1,-1,-1,-1,-1,Nye Valentinlyst | 50 nye leiligheter med attraktiv beliggenhet | Heis | P-kjeller |Over 50% solgt! Innflytting 2022,EiendomsMegler 1 Prosjekt Trondheim
"Fjordgata 1 B, 7300 Orkanger",1 650 000 kr,137 000 kr,8 032 kr,1 795 032 kr,3 793 kr,Leilighet,Andel,41 m²,41 m²,2002,E - oransje,Eiet,-1,-1,Praktisk leilighet i et lite og koselig borettslag på vakre Nerøra. Garasje. Pent boligtun.,Aktiv Orkla
"Trevaren 3, 1389 Heggedal",4 999 000 kr,133 990 kr,5 132 990 kr,3 727 kr,-1,Leilighet,Eier (Selveier),2,76 m²,79 m²,2,2020,B - mørkegrønn,,"Ny 3-roms leilighet med to bad, høy standard, og stor solrik terrasse. Tre min. til tog/ buss.",EIE eiendomsmegling Asker
"Astraveien 44, 4021 Stavanger",2 590 000 kr,258 900 kr,8 626 kr,2 857 526 kr,4 338 kr,Leilighet,Andel,2,85 m²,89 m²,3,1979,E - rød,,Flott og innholdsrik leilighet i 3 etasje med god planløsning. En balkong og en terrasse. Parkering i lukket garasje.,Krogsveen avd. Stavanger
"Michael Krohns gate 49, 5057 Bergen",4 290 000 kr,115 492 kr,4 405 492 kr,2 139 kr,11 930 kr per år,Leilighet,Eier (Selveier),2,66 m²,69 m²,6,2014,C - mørkegrønn,,"Nydelig leilighet med to soverom, høy standard, balkong med ettermiddagssol og heis i bygget. Attraktiv beliggenhet!",Proaktiv Sandviken
"Solveien 11 D, 4879 Grimstad",1 750 000 kr,24 996 kr,1 774 996 kr,3 258 kr,-1,Leilighet,Andel,2,62 m²,63 m²,2,1973,E - rød,-1,"BUD MOTTATT! Groosåsen - Flott leilighet med 2 soverom, stor veranda og garasje! Kort gangvei til UiA og sentrum!",Privatmegleren Arendal
"Kystveien 22, 4841 Arendal",4 100 000 kr,113 870 kr,4 213 870 kr,2 426 kr,15 759 kr per år,Leilighet,Eier (Selveier),2,76 m²,76 m²,2,2017,C - mørkegrønn,,"Eksklusiv selveierleilighet med heis, garasjeplass og solrik utsiktsterrasse - Barbu Brygge",-1
"Solbakken 43C, 6429 Molde",1 540 000 kr,176 207 kr,8 062 kr,1 724 269 kr,4 705 kr,Leilighet,Andel,1,63 m²,68 m²,7,1971,E - rød,,Romslig 3-roms leilighet - vestvendt balkong med kveldssol - parkering i felles garasjeanlegg - heis,-1
"Ljosheimvegen 6-8, 4735 Evje",2 510 000 kr,-1,-1,-1,-1,63 - 96 m²,1 - 3,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,"Ljosheim - Prosjekterte, solrike leiligheter i sentrum - gjennomgående og med balkonger - p-plass/bod i kjeller - heis",-1
"Eplehagan, 3084 Holmestrand",3 828 000 kr,-1,-1,-1,-1,102 - 107 m²,3,Leilighet,Eier (Selveier),B - rød,-1,-1,-1,-1,Ekeberg Hage - Nye 5- roms leiligheter nær Holmestrand sentrum. Garasjeplass og barnevennlig område,Trysilhus Sørøst AS
"Kalbakkstubben 24, 0951 Oslo",2 750 000 kr,98 000 kr,15 554 kr,2 863 554 kr,2 957 kr,Leilighet,Andel,1,30 m²,37 m²,4,1956,F - lysegrønn,,Etterspurt beliggenhet! 2 roms toppleilighet. 7 kvm balkong med fantastisk utsikt! Kort vei til t-bane/buss og butikker.,-1
"Frøyas vei 18, 1782 Halden",750 000 kr,428 049 kr,1 178 049 kr,4 134 kr,-1,Leilighet,Andel,48 m²,59 m²,1,1978,D - rød,-1,-1,2-roms leilighet- innglasset balkong -semtrumsnært,-1
"Steinsvikvegen 2, 5251 Søreidgrend",4 990 000 kr,136 746 kr,5 126 746 kr,2 068 kr,16 557 kr per år,Leilighet,Eier (Selveier),3,87 m²,90 m²,3,2019,B - rød,,"Nytt, eksklusivt og deilig, med stor takterrasse og garasje med heis til leiligheten.",Proaktiv Småstrandgaten
"Herslebs gate 4C, 0561 Oslo",4 500 000 kr,274 853 kr,1 164 kr,4 776 017 kr,4 270 kr,Leilighet,Andel,2,52 m²,52 m²,4,1896,G - rød,,"Gjennomgående, lys og pen 3-roms andelsleilighet. Meget populært og urbant område på Grünerløkka. Ingen forkjøpsrett.",EiendomsMegler 1 Oslo Sentrum
"Myrvegen 62, 2052 Jessheim",3 475 000 kr,65 441 kr,1 132 kr,3 541 573 kr,4 050 kr,Leilighet,Andel,2,69 m²,72 m²,2,2008,D - rød,,"Tiltalende og romslig 3-roms i 2. etasje med balkong, heis og garasjeplass | Felles trimrom og spa avd. | Sentrumsnært!",-1
"Nordstrandveien 32 C, 1163 Oslo",7 950 000 kr,207 528 kr,8 157 528 kr,2 730 kr,-1,Leilighet,Eier (Selveier),2,90 m²,90 m²,2,1923,-1,,"NORDSTRAND: Klassisk, lys og luftig 3-roms leilighet med 5kvm terrasse. Oppusset 2014/2019. Parkeringsplass m/el.",Boa Eiendomsmegling Oslo Øst
"Gartnerkvartalet hus 8, Villvin boligsameie Lørenvangen 23 B, leil. 8606, 0585 Oslo",6 200 000 kr,-1,-1,-1,-1,55 m²,57 m²,2,3,Leilighet,Eier (Selveier),H0601,D - mørkegrønn,-1,Løren - Helt ny 3-romsleilighet med sydvendt balkong mot midtparken *overtagelsesklar *lave omkostninger *toppetasje,OBOS BBL
"Smiestubben 3, 4027 Stavanger",2 100 000 kr,380 635 kr,8 626 kr,2 489 261 kr,6 530 kr,Leilighet,Andel,2,63 m²,66 m²,2,2003,D - rød,,Pen og oppusset 3- romsleilighet med god planløsning og sentral beliggenhet. Parkeringsplass i lukket anlegg og heis.,-1
"Lossiusvegen 24C, 7045 Trondheim",4 850 000 kr,130 270 kr,4 980 270 kr,2 000 kr,20 108 kr per år,Leilighet,Eier (Selveier),3,106 m²,106 m²,1,1936,B - rød,-1,Særdeles tiltalende og rehabilitert selveierleilighet på to plan med et bruksareal på 106 kvm.,EIE eiendomsmegling Trondheim
"Havreveien 9, 0680 Oslo",3 300 000 kr,113 000 kr,15 554 kr,3 428 554 kr,4 005 kr,Leilighet,Andel,2,58 m²,58 m²,2,1960,C - gul,,3-roms hjørneleilighet med 11 kvm balkong. 2. etg med heis! Trenger oppussing med unntak av utvidet bad. Vv/fyr inkl.,-1
"Hagegata 1A, 0577 Oslo",3 150 000 kr,26 292 kr,1 132 kr,3 177 424 kr,2 322 kr,Leilighet,Andel,1,40 m²,40 m²,2,1903,G - rød,,Oppussingsobjekt m/stor potensiale!|2-R m/god takhøyde & store vindusflater|Stukkatur & rosett|Lave F.K|Ingen forkjøp!,-1
"Michael Krohns gate 75, 5057 Bergen",2 890 000 kr,73 420 kr,2 963 420 kr,1 456 kr,8 400 kr per år,Leilighet,Eier (Selveier),1,38 m²,42 m²,6,2013,B - mørkegrønn,,"Flott 2-roms i moderne bygg med privat balkong, felles takterrasse, og heis. 15 min gange til sentrum.",-1
"Siriskjeret 36, 4014 Stavanger",3 690 000 kr,93 592 kr,3 783 592 kr,2 286 kr,5 365 kr per år,Leilighet,Eier (Selveier),2,70 m²,73 m²,3,2013,C - mørkegrønn,,Moderne 3-romsleilighet med sentral beliggenhet - 2 soverom - parkering i garasje - Nærhet til sjøen!,-1
"Sandakerveien 10R, 0473 Oslo",3 990 000 kr,369 252 kr,8 032 kr,4 367 284 kr,5 489 kr,Leilighet,Andel,1,46 m²,49 m²,3,1936,F - mørkegrønn,,Sjarmerende og solfylt 2-roms uten innsyn og idyllisk beliggenhet mot Akerselva - Moderne bad og kjøkken - Må sees!,-1
"Sognsveien 46, 0851 Oslo",12 500 000 kr,42 629 kr,8 032 kr,12 550 661 kr,4 317 kr,Leilighet,Andel,2,104 m²,104 m²,2,1920,G - oransje,,"Lys og innbydende bolig over to plan og hems. Skjermet, frodig og solrik hageparsell. Felles balkong. To komplette bad.",-1
"Lørenvangen 23C, 0585 Oslo",4 290 000 kr,116 892 kr,4 406 892 kr,2 432 kr,-1,Leilighet,Eier (Selveier),1,42 m²,42 m²,4,2019,-1,,"Helt ny og svært pen 2-roms i Gartnerkvartalet med solrik balkong, høy standard, vannbåren varme og flotte fellesarealer",-1
"Busterudkleiva 60 ABCD, 1782 Halden",3 400 000 kr,-1,-1,-1,-1,3,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,-1,4 nyoppførte leiligheter på Brødløs! 3 soverom. Aircondition. Carport. Ingen fellesutgifter,Aktiv Halden
"Breidablikkbakken 3, 3911 Porsgrunn",2 590 000 kr,795 761 kr,8 032 kr,3 393 793 kr,6 396 kr,Leilighet,Andel,2,87 m²,95 m²,3,1983,F - rød,,Romslig terrasseleilighet med fantastisk utsikt og nydelige solforhold - Stor terrasse - 2 gode soverom - Garasje,PrivatMegleren Telemark
"Løren botaniske, hus 5, Hagehumla borettslag, salgstrinn 1, Peter Møllers vei 8-14, 0585 Oslo",1 260 000 kr,-1,-1,-1,-1,39 - 88 m²,1 - 3,Leilighet,Andel,C - mørkegrønn,-1,-1,-1,-1,"Løren botaniske hus 5, salgstrinn 1. Sydvendte leiligheter med balkong, felles takterrasse og utsikt til park",OBOS BBL
"Fayes gate 18, 0455 Oslo",3 950 000 kr,39 638 kr,5 232 kr,3 994 870 kr,2 094 kr,Leilighet,Andel,1,37 m²,37 m²,2,1919,-1,,LINDERN HAGEBY - Lys og lekker 2-roms leilighet - lave fellesutgifter - lave omkostninger,Propr.no
"Totlandsvegen 80D, 5226 Nesttun",4 250 000 kr,107 592 kr,4 357 592 kr,1 465 kr,10 748 kr per år,Leilighet,Eier (Selveier),3,75 m²,78 m²,4,2019,B - gul,,Lekker og moderne eierleilighet fra 2019 | 4. Etg - 3 soverom - med heis & garasjeplass! | Solrik balkong med utsikt.,Krogsveen avd. Fana
"Vistegata 12C, 4007 Stavanger",2 137 000 kr,338 225 kr,15 556 kr,2 490 781 kr,4 681 kr,Leilighet,Andel,1,54 m²,54 m²,1,1964,G - oransje,,Kjekk leilighet med attraktiv beliggenhet. Sør-vestvendt terrasse med gode solforhold. God planløsning.,-1
"Refsnesalleen 89A, 1518 Moss",1 990 000 kr,52 404 kr,12 760 kr,2 055 164 kr,2 011 kr,Leilighet,Andel,0,34 m²,36 m²,-1,1964,F - rød,,1-roms leilighet med fantastisk utsikt over Oslofjorden og solrik vestvendt uteplass.,GARANTI Eiendomsmegling Moss
"Sandgata 30C leil. 303, 7012 Trondheim",6 390 000 kr,167 820 kr,6 557 820 kr,3 111 kr,18 588 kr per år,Leilighet,Eier (Selveier),2,90 m²,104 m²,3,1903,F - mørkegrønn,,"Lekker og moderne hjørneleilighet på 104 m² i 3.etg, med fantastisk beliggenhet | 2 balkonger | Fjernvarme | Nært skoler",Heimdal Eiendomsmegling AS avd. Trondheim Sentrum
"Rødtvetveien 65, 0955 Oslo",3 500 000 kr,59 191 kr,8 010 kr,3 567 201 kr,3 234 kr,Leilighet,Andel,2,55 m²,55 m²,2,1961,F - lysegrønn,,Lekker 3-roms m/ solrik innglasset balkong. Pusset opp i 2016. Sentral beliggenhet nær marka. Vv & fyring inkl!,EIE eiendomsmegling Veitvet
"Bretlandsgata 65, 4009 Stavanger",3 690 000 kr,32 135 kr,94 220 kr,3 816 355 kr,3 301 kr,Leilighet,Eier (Selveier),2,69 m²,72 m²,3,2009,C - mørkegrønn,,"Flott selveierleilighet i det attraktive sameiet Norwegian Wood fra 2009. 2 soverom, stor balkong, heis og garasje.",EiendomsMegler 1 Stavanger
"Depotgata 27A, 2000 Lillestrøm",8 950 000 kr,235 292 kr,9 185 292 kr,3 413 kr,-1,Leilighet,Eier (Selveier),2,91 m²,95 m²,4,2008,C - mørkegrønn,,"Sjelden mulighet! Selveier med 2 solrike balkonger mot Nitelva. 2 garasjeplasser, heis og nydelig utsikt.",PrivatMegleren Strømmen
"Olavs gate 2, 2815 Gjøvik",2 500 000 kr,396 434 kr,1 132 kr,2 897 566 kr,5 855 kr,Leilighet,Andel,2,81 m²,89 m²,4,1967,F - rød,-1,Romslig og innbydende andelsleilighet i 4.etg med livsløpsstandard|2 soverom|sentrumsbeliggenhet|balkong med Mjøsutsikt|,-1
"Bo Persaunet, 7046 Trondheim",2 700 000 kr,-1,-1,-1,-1,44 - 141 m²,1 - 3,Leilighet,Andel,-1,-1,-1,-1,-1,PERSAUNET - 35 moderne leiligheter med attraktiv beliggenhet | Heis | P-kjeller | Estimert innflytting 4. kvartal 2022,EiendomsMegler 1 Prosjekt Trondheim
"Engekjærveien 10, 4846 Arendal",1 950 000 kr,60 120 kr,2 010 120 kr,500 kr,16 222 kr per år,Leilighet,Eier (Selveier),4,89 m²,89 m²,2005,E - rød,-1,-1,Leilighet i Arendal - Lekker leilighet med 4 soverom og gangavstand til sentrum,-1
"Ortuflaten 54, 5143 Fyllingsdalen",2 300 000 kr,31 792 kr,15 526 kr,2 347 318 kr,4 832 kr,Leilighet,Andel,2,68 m²,68 m²,3,1968,G - rød,,Lys og fin 3-roms leilighet med sørvendt balkong! Sentralvarme og varmtvann inkl. i felleskostnadene,Nordvik Bergen
"Disetsvingen 3, 2836 Biri",2 390 000 kr,68 772 kr,2 458 772 kr,2 162 kr,5 432 kr per år,Leilighet,Eier (Selveier),2,78 m²,82 m²,1,2018,B - oransje,-1,Nyere selveierleilighet på bakkeplan. Lys og lettstelt leilighet med 2 soverom. Terrasse og carport.,-1
"Mørtelverksbakken 7, 0580 Oslo",4 850 000 kr,132 820 kr,4 982 820 kr,2 321 kr,-1,Leilighet,Eier (Selveier),2,58 m²,58 m²,2,2017,B - mørkegrønn,,Morderne 3-roms m/heis & garasjeplass | Pen & velholdt standard fra 2017 med nybygg-garanti | sør-vestvendt balkong,PrivatMegleren Ski-Ås
"Nordalsvegen 3, 7540 Klæbu",3 750 000 kr,2 466 kr,-1,-1,-1,Leilighet,Eier (Selveier),2,75 m²,80 m²,3,2017,C - mørkegrønn,,Romslig 3-romsleilighet fra 2017 midt i Klæbu sentrum. TG0 på alle punkter. Vestvendt veranda. Heis. Parkeringskjeller.,Proaktiv Eiendomsmegling avd. Heimdal
"Myrvegen 62, 2052 Jessheim",4 500 000 kr,65 441 kr,1 132 kr,4 566 573 kr,4 050 kr,Leilighet,Andel,2,69 m²,72 m²,4,2008,D - rød,,Stor (72 kvm) 3-roms i toppetasje med sol formiddag til kveld uten innsyn | Garasjeplass | Eksklusive fasiliteter,-1
"Gjeisarjordet, 2686 Lom",2 350 000 kr,-1,-1,-1,-1,67 - 70 m²,2,Leilighet,Eier (Selveier),B - oransje,-1,-1,-1,-1,Firemannsbustad Gjeisarjordet,Norgeshus Jotunheimen Bygg AS
"Brunestykket 2, 5039 Bergen",2 690 000 kr,110 365 kr,960 kr,2 801 325 kr,3 373 kr,Leilighet,Andel,1,53 m²,53 m²,1,1962,-1,,Nydelig 2-roms leilighet med vestvendt altan og vakker utsikt mot Byfjorden. Høy 1. etg. Rett v/Helleneset/badestrand.,EiendomsMegler 1 Åsane
3803 Bø i Telemark,960 000 kr,-1,-1,-1,-1,79 m²,3,2,Leilighet,Andel,-1,-1,-1,-1,"Flotte, moderne firemannsboliger på idylliske Nordbøåsen i Bø til gunstige priser. 6 av 12 solgt. Byggingen er i gang!",ITV Bolig AS
"Smedgata 41B, 0651 Oslo",2 990 000 kr,55 553 kr,8 010 kr,3 053 563 kr,1 492 kr,Leilighet,Andel,29 m²,29 m²,1,1892,G - rød,-1,,Lekker og arealeffektiv 1-roms med attraktiv og sentral beliggenhet med kort vei til ''alt''. Supert førstegangskjøp!,EIE eiendomsmegling Frogner
"Sandeidgata 7, 4012 Stavanger",2 690 000 kr,68 592 kr,2 758 592 kr,6 734 kr per år,-1,Leilighet,Eier (Selveier),1,67 m²,67 m²,3,1919,-1,,Leilighet med særpreg i flott murhus beliggende på Storhaugs beste vestkant.,Krogsveen avd. Stavanger Øst
"Kristine Bonnevies vei 10, 0592 Oslo",3 400 000 kr,86 374 kr,3 486 374 kr,2 402 kr,-1,Leilighet,Eier (Selveier),1,43 m²,43 m²,1,1964,F - rød,,"2-roms selveier, endeleilighet med stor balkong ca. 12kvm. God planløsning. Flott beliggenhet inntil marka.",EiendomsMegler 1 Tonsen
"Skjenbrekken 20, 5184 Olsvik",2 490 000 kr,312 111 kr,8 017 kr,2 810 128 kr,6 165 kr,Leilighet,Andel,3,91 m²,91 m²,4,1980,F - rød,,Stilsikker 4-roms leilighet med moderne kvaliteter og solrik terrasse. Garasjeplass m/elbil lader. Varmtvann inkl. i fk,W Eiendomsmegling Bergen Sentrum As
"Olav Aukrusts vei 2E, 0785 Oslo",10 500 000 kr,92 200 kr,276 370 kr,10 868 570 kr,4 257 kr,Leilighet,Eier (Selveier),3,126 m²,126 m²,2,1980,F - rød,,Eksklusiv og usjenert 4-r endeleilighet med solrik terrasse og vidstrakt utsikt - Gasspeis - 3 sov - 2 bad - Garasje,PrivatMegleren Dyve & Partnere
"Kvernevikstemma 20, 5114 Tertnes",2 890 000 kr,132 336 kr,960 kr,3 023 296 kr,5 839 kr,Leilighet,Andel,2,97 m²,97 m²,5,1977,-1,,"Nydelig og modernisert 3(4) roms leilighet i 5 etasje, via hovedinngang 3etg. Oppusset i 2015. Kort vei til skole, buss.",EiendomsMegler 1 Åsane
"Riihimækiveien 31, 2013 Skjetten",3 450 000 kr,107 362 kr,8 627 kr,3 565 989 kr,4 986 kr,Leilighet,Andel,3,96 m²,109 m²,3,1975,F - rød,,Innholdsrik 4-roms leilighet - Stor innglasset balkong på 13 kvm - Garasjeplass - Nærhet til alt av servicetilbud.,-1
"St. Jørgens vei 41, 0662 Oslo",5 090 000 kr,218 000 kr,9 126 kr,5 317 126 kr,3 205 kr,Leilighet,Andel,2,65 m²,65 m²,4,1955,G - oransje,,"Rålekker 3-roms endeleilighet med solrik balkong og fantastisk utsikt|Pusset opp i nyere tid - Peis - Kort vei til ""alt""",Krogsveen avd. Hasle
"TIURVEGEN 2, 6416 Molde",4 290 000 kr,-1,-1,-1,-1,72 m²,2,3,Leilighet,Eier (Selveier),-1,-1,-1,-1,"Nye leiligheter, sentralt på Fuglset. KUN EN IGJEN.",Planor Bolig AS
"Landingsveien 84, 0767 Oslo",4 500 000 kr,47 000 kr,8 032 kr,4 555 032 kr,2 815 kr,Leilighet,Andel,2,57 m²,57 m²,3,1975,E - rød,,"Lys og oppusset 3-roms med stor og solrik balkong, heis og garasjeplass med mulighet for el-lading - Velkommen",PrivatMegleren Park
"Lietorvet Boliger, trinn 2, 3717 Skien",1 850 000 kr,-1,-1,-1,-1,69 - 92 m²,2 - 3,Leilighet,Andel,-1,-1,-1,-1,-1,Lietorvet trinn 2 - Sentrumsnært - garasje - utsikt og sol - Ferdigstilt i september 2021 - Ta kontakt for visning!,PrivatMegleren Telemark
"Søster Mathildes gate 1, 1461 Lørenskog",2 600 000 kr,64 459 kr,8 032 kr,2 672 491 kr,2 376 kr,Leilighet,Andel,1,34 m²,34 m²,1,2005,D - rød,-1,"Lys og moderne 2-roms fra 2005. Perfekt førstegangskjøp! Sentralt, rett ved Triaden kjøpesenter og ca. 15 min fra Oslo!",Aktiv Lørenskog
"Plogveien 23, 0679 Oslo",3 200 000 kr,262 973 kr,15 526 kr,3 478 499 kr,3 190 kr,Leilighet,Andel,1,52 m²,52 m²,3,1958,F - rød,-1,"Gjennomgående 2-roms med vestvendt, solrik balkong - Hyggelig boområde - Kort vei til marka og offentlig transport",Aktiv Grønland/Bjørvika
"Gamlegrensa 10A, 3747 Skien",750 000 kr,306 548 kr,1 235 kr,1 057 783 kr,4 878 kr,Leilighet,Andel,1,46 m²,65 m²,4,1975,F - mørkegrønn,,Hjørneleilighet i 4. etasje med flott utsikt mot landlige omgivelser - Heis - Sentralt på Falkum,EiendomsMegler 1 Skien
"Tårnet Vestbygget, 4352 Kleppe",2 400 000 kr,-1,-1,-1,-1,49 - 125 m²,1 - 3,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,Tårnet Vestbygget - 19 nye leiligheter i Klepp sentrum med herlig lys fra sør og vest. Salget er i gang!,Aktiv Jæren
"Balaklava 17A, 1513 Moss",2 300 000 kr,170 267 kr,8 625 kr,2 478 892 kr,4 300 kr,Leilighet,Andel,2,67 m²,67 m²,2,1961,-1,,Gjennomgående 3-roms med utsikt og morgen-/formiddagssol på balkongen. Tilbaketrukkede og fredelige omgivelser.,Krogsveen avd. Moss
"Bjørgvingata 34 B, 5531 Haugesund",1 390 000 kr,389 479 kr,4 957 kr,1 784 436 kr,3 703 kr,Leilighet,Andel,1,60 m²,60 m²,2,1987,E - rød,-1,Sentralt - Lekker og tiltalende 2(3)-roms leilighet med stor solrik terrasse. Utvidet bad. Rolig beliggenhet.,-1
"Arnegårdsbakken 7B, 3511 Hønefoss",2 400 000 kr,241 902 kr,67 362 kr,2 709 264 kr,4 135 kr,Leilighet,Eier (Selveier),2,74 m²,76 m²,2,1996,F - oransje,,3-roms selveierleilighet over to plan med nydelig utsikt over byen. Parkeringsplass medfølger. TV/internett fra Altibox.,-1
"Mari-Jakobvegen, 6887 Lærdal",3 150 000 kr,-1,-1,-1,-1,71 - 80 m²,2 - 3,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,Mari-Jakobskvartalet byggetrinn 2. Består av 6 leilegheiter der 2 alt er selde.,Meklarhuset Sogn As
"Iduns vei 1, 1463 Fjellhamar",3 200 000 kr,123 005 kr,8 626 kr,3 331 631 kr,3 940 kr,Leilighet,Andel,2,54 m²,54 m²,1,1956,G - mørkegrønn,,Lys og moderne 3-roms leilighet m/ balkong. Sentral og attraktiv beliggenhet v/Fjellhamar Torg!,-1
"Kongens gate 34A, 6002 Ålesund",2 090 000 kr,63 792 kr,2 153 792 kr,3 071 kr,-1,Leilighet,Eier (Selveier),1,51 m²,55 m²,3,1918,G - mørkegrønn,-1,Tiltalende og flott 2-roms selveierleilighet oppusset i 2007. Praktisk planløsning | sentralt | heis,Aktiv Ålesund
"Strømsø torg 5C, 3044 Drammen",750 000 kr,457 396 kr,1 132 kr,1 208 528 kr,7 145 kr,Leilighet,Andel,0,17 m²,17 m²,1,1861,G - mørkegrønn,,Meget sentral 1-roms med hems i 1. etasje| Sentral beliggenhet perfekt for pendlere og studenter!,-1
"Karenslyst allé 3B, 0278 Oslo",7 990 000 kr,68 000 kr,211 092 kr,8 269 092 kr,3 952 kr,Leilighet,Eier (Selveier),2,88 m²,88 m²,6,1999,E - mørkegrønn,,"Skøyen: Gjennomgående, attraktiv 3-roms med 2 balkonger, garasjeplass, gasspeis og heis. Svært sentralt!",Nordvik Bygdøy Allé
"Nerviksdalen 11, 7300 Orkanger",1 890 000 kr,55 992 kr,1 945 992 kr,1 580 kr,9 653 kr per år,Leilighet,Eier (Selveier),2,95 m²,153 m²,2,1908,-1,,Sentral og koselig 4-roms leilighet med altan og stort loft,Propr.no
"Kristins vei 34, 0669 Oslo",3 150 000 kr,207 000 kr,8 658 kr,3 365 658 kr,3 131 kr,Leilighet,Andel,1,48 m²,56 m²,1,1965,G - rød,,Lekker 2-roms m/nytt bad fra høsten 2020|Innglasset balkong m/utsikt|Walk in-garderobe/kontor|Perfekt førstegangskjøp!,EiendomsMegler 1 Gamle Oslo
"Auravegen 33 J, 4700 Vennesla",2 190 000 kr,196 715 kr,5 162 kr,2 391 877 kr,4 098 kr,Leilighet,Andel,3,123 m²,130 m²,5,1979,-1,,Vennesla - nær sentrum | Stor 4-roms toppleilighet | Solrik takterrasse med utsikt | Skjermet uteplass | Garasje i rekke,-1
"Ørpetveitvegen, 5534 Haugesund",2 590 000 kr,-1,-1,-1,-1,86 m²,3,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,"Kampanje inntil kr. 300 000 i avslag på opprinnelig pris. Nye, 4-roms leiligheter med lave omkostninger. Vestvendt og solrikt",-1
"Elgsåslia 12, 6421 Molde",2 650 000 kr,77 820 kr,2 727 820 kr,1 250 kr,13 963 kr per år,Leilighet,Eier (Selveier),3,72 m²,72 m²,2,2015,B - lysegrønn,-1,Hestehagen - Flott 3-roms leilighet i 2. etasje med fin utsikt - Sørvendt og solrik balkong - Carport,Privatmegleren Molde
"Strimmelen 20, 5097 Bergen",2 590 000 kr,197 875 kr,1 132 kr,2 789 007 kr,4 995 kr,Leilighet,Andel,2,61 m²,61 m²,9,1957,-1,,Trivelig 3-roms med attraktiv beliggenhet på Landås. Fantastisk utsikt og gode solforhold. Ingen dok.avgift v/kjøp,-1
